id,fecha,grupo,hora,equipo1,equipo2
1,21-nov,A,13,SENEGAL,PAISES BAJOS
2,21-nov,B,10,INGLATERRA,IRAN
3,20-nov,A,20,QATAR,ECUADOR
4,21-nov,B,16,EEUU,GALES
5,22-nov,C,7,ARGENTINA,ARABIA SAUDITA
6,22-nov,D,10,DINAMARCA,TUNEZ
7,22-nov,C,13,MEXICO,POLONIA
8,22-nov,D,16,FRANCIA,AUSTRALIA
9,23-nov,F,7,MARRUECOS,CROACIA
10,23-nov,E,10,ALEMANIA,JAPON
11,23-nov,F,13,ESPAÑA,COSTA RICA
12,23-nov,E,16,BELGICA,CANADA
13,24-nov,G,7,SUIZA,CAMERUN
14,24-nov,H,10,URUGUAY,COREA
15,24-nov,H,13,PORTUGAL,GHANA
16,24-nov,G,16,BRASIL,SERBIA
17,25-nov,B,7,GALES,IRAN
18,25-nov,A,10,QATAR,SENEGAL
19,25-nov,A,13,PAISES BAJOS,ECUADOR
20,25-nov,B,16,INGLATERRA,EEUU
21,26-nov,D,7,TUNEZ,AUSTRALIA
22,26-nov,C,10,POLONIA,ARABIA SAUDITA
23,26-nov,D,13,FRANCIA,DINAMARCA
24,26-nov,C,16,ARGENTINA,MEXICO
25,27-nov,E,7,JAPON,COSTA RICA
26,27-nov,F,10,BELGICA,MARRUECOS
27,27-nov,F,13,CROACIA,CANADA
28,27-nov,E,16,ESPAÑA,ALEMANIA
29,28-nov,G,7,CAMERUN,SERBIA
30,28-nov,H,10,COREA,GHANA
31,28-nov,G,13,BRASIL,SUIZA
32,28-nov,H,16,PORTUGAL,URUGUAY
33,29-nov,A,12,PAISES BAJOS,QATAR
34,29-nov,A,12,ECUADOR,SENEGAL
35,29-nov,B,16,GALES,INGLATERRA
36,29-nov,B,16,IRAN,EEUU
37,30-nov,D,12,TUNEZ,FRANCIA
38,30-nov,D,12,AUSTRALIA,DINAMARCA
39,30-nov,C,16,POLONIA,ARGENTINA
40,30-nov,C,16,ARABIA SAUDITA,MEXICO
41,01-dic,F,12,CROACIA,BELGICA
42,01-dic,F,12,CANADA,MARRUECOS
43,01-dic,E,16,JAPON,ESPAÑA
44,01-dic,E,16,COSTA RICA,ALEMANIA
45,02-dic,H,12,COREA,PORTUGAL
46,02-dic,H,12,GHANA,URUGUAY
47,02-dic,G,16,CAMERUN,BRASIL
48,02-dic,G,16,SERBIA,SUIZA
